Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
1470000	1470	0.115921872020703	0.225364026426479	6.13495742259775e-05	13494167	1564269.1	866687.5	0.0507889444071545
1471000	1471	0.115623367230763	0.224961743697916	6.12727283700575e-05	13479783	1558577.9	862390	0.0506077861276067
1472000	1472	0.115241779459832	0.224304608677904	6.10601681357458e-05	13494612	1555143.1	858165.9	0.0503125574741475
1473000	1473	0.115162640198058	0.224034568516286	6.09929994565015e-05	13491806	1553752	856108	0.0501914878902785
1474000	1474	0.115466288248816	0.224674303947754	6.11620166723628e-05	13494078	1558111.1	861070.7	0.0504785428544078
1475000	1475	0.115632578745618	0.224997219123755	6.12375912655942e-05	13499513	1560983.5	863896.5	0.0506237486134232
1476000	1476	0.115131789397955	0.224373719512229	6.09923067518123e-05	13532993	1558077.7	860683.4	0.0503435660077523
1477000	1477	0.115287896878218	0.224397609794613	6.1030697857513e-05	13518851	1558559.9	860415.2	0.0503542872815355
1478000	1478	0.115531390125236	0.224693531070669	6.11286444240316e-05	13511128	1560959.4	862478.6	0.0504871829050058
1479000	1479	0.115598933398659	0.224851211067935	6.12254948007398e-05	13487326	1559120.5	862125.8	0.050558067118717
1481000	1481	0.11518389556753	0.224185914141446	6.1063477211527e-05	13478873	1552549.1	856267.7	0.050259324099436
1482000	1482	0.115356112614292	0.224293358880279	6.11448446036411e-05	13455912	1552221.7	855991.7	0.0503075108377977
1483000	1483	0.115389068554243	0.224367525742682	6.11996003878554e-05	13440729	1550913.2	855575.3	0.0503407866078931
1484000	1484	0.115204606044699	0.224125968935471	6.10626380290381e-05	13472036	1552040.6	855535.6	0.0502324499512636
1485000	1485	0.115202766588906	0.224258632377531	6.10820560378902e-05	13479415	1552865.9	856800.3	0.0502919341958407
1486000	1486	0.11515178329709	0.224079574388492	6.10017640671161e-05	13493349	1553783.2	856444.3	0.0502116556581277
1487000	1487	0.115319404599408	0.224533744928865	6.11137969077139e-05	13498475	1556636.1	860041.4	0.0504154026117806
1488000	1488	0.115268155385906	0.224539600215594	6.10749406739215e-05	13516361	1558006	861056.8	0.0504180320649786
1489000	1489	0.115060095861406	0.224521430888773	6.10576856390385e-05	13521813	1555821.1	860645.8	0.050409872928342
1490000	1490	0.115054639195122	0.224299314851773	6.09443464959497e-05	13545313	1558451.1	860774.2	0.0503101826429746
1491000	1491	0.115007747173432	0.224165253972265	6.09567023305073e-05	13523642	1555323.6	858438.1	0.05025006108845
1493000	1493	0.115289094243472	0.224443028646999	6.11496330339772e-05	13471766	1553147.7	857696.8	0.0503746731082375
1494000	1494	0.115265574378518	0.224679555240823	6.11933902332636e-05	13480875	1553880.8	859635.7	0.050480902543214
