Chromosome	Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
4H	887000	887	0.167464020038822	0.274492132674646	0.000184190181124066	2220889	371919	229618	0.0753459309002752
4H	888000	888	0.167194216228088	0.274467501891524	0.000183752954749811	2231070	373022	230439	0.075332409594574
4H	889000	889	0.166547697304302	0.273927286624921	0.000183366755187784	2231667	371679	229358	0.0750361583576915
4H	890000	890	0.166132869875429	0.27373211595495	0.000182428048082215	2251481	374045	230843	0.0749292713051744
4H	891000	891	0.165479470763675	0.273287896158705	0.000181982811131817	2255174	373185	230185	0.0746862741868512
4H	892000	892	0.166055241661324	0.273907145302796	0.000181881665211175	2267926	376601	232688	0.0750251242479268
4H	894000	894	0.167641783892327	0.275100084827619	0.000183932350390467	2236996	375014	232164	0.0756800566721634
4H	895000	895	0.168299546172007	0.27584771312284	0.000184560553796255	2233886	375962	233255	0.0760919608351008
4H	896000	896	0.168196003896791	0.275581577490158	0.000184988995164617	2219262	373271	231325	0.0759452058519638
4H	897000	897	0.168026552969944	0.275571576046687	0.000185385398855688	2209621	371275	230182	0.0759396935248553
4H	898000	898	0.167871154243238	0.275001974742788	0.00018444727149398	2222937	373167	230756	0.0756260861124331
4H	899000	899	0.168374040664278	0.275954684625013	0.000185769953382337	2206605	371535	230592	0.0761509879664903
4H	900000	900	0.167921988318025	0.275556437635371	0.000184741966286643	2224795	373592	231666	0.075931350322296
4H	901000	901	0.16796461040457	0.27519274836073	0.000184957486013327	2213758	371833	230105	0.075731048750332
4H	902000	902	0.168047235064719	0.275163063250782	0.000185035772424712	2211408	371621	229886	0.0757147113775541
4H	903000	903	0.167643087781785	0.274629787414747	0.00018491705950366	2205674	369766	228344	0.0754215201354691
4H	904000	904	0.16862226291461	0.275515699670125	0.000185673077640707	2201886	371287	229750	0.0759089007647185
4H	905000	905	0.168161492813838	0.275244656600149	0.000185160777577123	2209733	371592	229896	0.0757596209869339
4H	906000	906	0.167800817347805	0.275330800437516	0.000185101951922176	2212522	371263	230023	0.0758070496695635
4H	907000	907	0.167785679599533	0.275240486156965	0.000185422608855398	2203430	369704	228957	0.0757573252199226
4H	908000	908	0.167391561537343	0.274937285936878	0.000184751742333755	2214574	370701	229453	0.0755905111983367
4H	909000	909	0.167174949374681	0.274859647008561	0.000184587247550694	2217270	370672	229477	0.075547825553671
4H	910000	910	0.167056522097289	0.274612096966908	0.000184750588856616	2209366	369089	228271	0.0754118038005625
4H	911000	911	0.167692107601737	0.275104798267748	0.000185194125567321	2206693	370045	229062	0.0756826500299386
4H	912000	912	0.166660479939159	0.274258005122742	0.000184526398638639	2209030	368158	227515	0.0752174533739058
4H	913000	913	0.16619707527947	0.273964799914034	0.000183843117400359	2220725	369078	228020	0.0750567115919368
4H	914000	914	0.166377610019228	0.273845269674094	0.000183870160911152	2218135	369048	227742	0.0749912317228771
4H	915000	915	0.166072421193516	0.274047880241503	0.000183782092768936	2223548	369270	228319	0.075102240664861
4H	917000	917	0.165944271889011	0.273688822973289	0.000183519183763951	2224084	369074	227842	0.0749055718205045
4H	918000	918	0.16551376017122	0.273353042334162	0.000183103499131156	2228715	368883	227589	0.0747218857533422
4H	919000	919	0.164827054707974	0.272468965860689	0.000182225688635019	2235707	368505	226717	0.0742393373571931
4H	920000	920	0.165461067205646	0.273135049970609	0.000182949680422393	2228905	368797	227304	0.0746027555224469
4H	921000	921	0.165889994535277	0.273390044073133	0.000183047977360536	2230671	370046	228112	0.0747421161983094
4H	922000	922	0.165485552069779	0.273027145530256	0.000182350317754239	2241809	370987	228506	0.0745438221963998
4H	923000	923	0.1652156545936	0.273006776479222	0.000182896791883064	2228100	368117	226885	0.074532700003576
4H	924000	924	0.165719169458286	0.273467935091641	0.000183218114304172	2227799	369189	227787	0.0747847115232859
4H	925000	925	0.16597335523117	0.273504153033066	0.000183513385229176	2221224	368664	227346	0.0748045217263347
4H	926000	926	0.166814817910236	0.274325975634881	0.00018488419872798	2201579	367256	226943	0.0752547409080293
4H	927000	927	0.166857925813819	0.274032458315505	0.000184519668959181	2205559	368015	227030	0.075093788210439
4H	928000	928	0.16698587492122	0.274623299238105	0.000185053274599583	2202324	367757	227505	0.0754179564844215
4H	929000	929	0.166826947502885	0.274348039800971	0.000184778039980203	2204464	367764	227276	0.075266846942635
4H	930000	930	0.167261411621295	0.27451454785644	0.000185416110849164	2191976	366633	226507	0.0753582369848254
4H	931000	931	0.166979628086588	0.274288342183692	0.000185489317831571	2186638	365124	225478	0.0752340946578779
4H	932000	932	0.167347737023222	0.274586435578117	0.000185613294147363	2188467	366235	226294	0.0753977106034956
4H	933000	933	0.166867079112302	0.273995274326223	0.000184603555945304	2202957	367601	226724	0.075073410353102
4H	934000	934	0.165970528512926	0.273144637187362	0.000183994196786808	2203825	365770	225130	0.0746079928242156
4H	935000	935	0.165996215895863	0.273351617048829	0.000183929759801338	2208713	366638	225898	0.0747211065432098
4H	936000	936	0.165738302085959	0.273066115167233	0.000183677539349405	2210159	366308	225512	0.0745651032525247
