[2026-03-22 09:47:39] [INFO] [stage=run] Run started.
[2026-03-22 09:47:39] [INFO] [stage=run] Run ID: All_Genes_All_Traits_V2
[2026-03-22 09:47:39] [INFO] [stage=run] Event log path: /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Haplotype_Analysis_All_Genes/Runs/All_Genes_All_Traits_V2/Logs/event_log_All_Genes_All_Traits_V2_20260322_094739.csv
[2026-03-22 09:47:39] [INFO] [stage=run] Traits: betaglucan, fiber, starch
[2026-03-22 09:47:39] [INFO] [stage=run] MGmin values: 2, 3
[2026-03-22 09:47:39] [INFO] [stage=run] Epsilon vector: 0.05, 0.2, 0.4, 0.5, 0.6, 0.8, 0.85
[2026-03-22 09:47:39] [INFO] [stage=discovery] Auto-generated targets file: targets.yaml
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729090.vcf.gz] Discovered target 131/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729100.vcf.gz] Discovered target 132/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729110.vcf.gz] Discovered target 133/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729120.vcf.gz] Discovered target 134/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729130.vcf.gz] Discovered target 135/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.2HG0179650.vcf.gz] Discovered target 136/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.2HG0179660.vcf.gz] Discovered target 137/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.2HG0179670.vcf.gz] Discovered target 138/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.2HG0179680.vcf.gz] Discovered target 139/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.2HG0179690.vcf.gz] Discovered target 140/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.2HG0179700.vcf.gz] Discovered target 141/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.2HG0179740.vcf.gz] Discovered target 142/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.3HG0268130.vcf.gz] Discovered target 143/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.3HG0301650.vcf.gz] Discovered target 144/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.3HG0301710.vcf.gz] Discovered target 145/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.3HG0301720.vcf.gz] Discovered target 146/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.3HG0301750.vcf.gz] Discovered target 147/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.3HG0301770.vcf.gz] Discovered target 148/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0676500.vcf.gz] Discovered target 149/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729010.vcf.gz] Discovered target 150/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729020.vcf.gz] Discovered target 151/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729030.vcf.gz] Discovered target 152/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729050.vcf.gz] Discovered target 153/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729090.vcf.gz] Discovered target 154/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729100.vcf.gz] Discovered target 155/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729110.vcf.gz] Discovered target 156/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729120.vcf.gz] Discovered target 157/158
[2026-03-22 09:47:40] [INFO] [stage=discovery] [trait=starch] [gene=HORVU.MOREX.r3.7HG0729130.vcf.gz] Discovered target 158/158
[2026-03-22 09:47:40] [INFO] [stage=gene] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0011900.vcf.gz] Processing gene 1/158
