trait,gene_file,gene_name,MGmin,epsilon,stage,status,message
betaglucan,HORVU.MOREX.r3.1HG0079200.vcf.gz,HORVU.MOREX.r3.1HG0079200,2,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0079200.vcf.gz,HORVU.MOREX.r3.1HG0079200,3,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0079210.vcf.gz,HORVU.MOREX.r3.1HG0079210,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079210.vcf.gz,HORVU.MOREX.r3.1HG0079210,3,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,2,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,2,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,3,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,3,0.6,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,3,0.8,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079230.vcf.gz,HORVU.MOREX.r3.1HG0079230,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079230.vcf.gz,HORVU.MOREX.r3.1HG0079230,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079230.vcf.gz,HORVU.MOREX.r3.1HG0079230,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079230.vcf.gz,HORVU.MOREX.r3.1HG0079230,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079230.vcf.gz,HORVU.MOREX.r3.1HG0079230,3,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079250.vcf.gz,HORVU.MOREX.r3.1HG0079250,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079250.vcf.gz,HORVU.MOREX.r3.1HG0079250,3,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0079280.vcf.gz,HORVU.MOREX.r3.1HG0079280,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079290.vcf.gz,HORVU.MOREX.r3.1HG0079290,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079290.vcf.gz,HORVU.MOREX.r3.1HG0079290,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079290.vcf.gz,HORVU.MOREX.r3.1HG0079290,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079320.vcf.gz,HORVU.MOREX.r3.1HG0079320,,,gene_stats,no_valid_tests_for_gene,Zero valid omnibus tests across MGmin/epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079320.vcf.gz,HORVU.MOREX.r3.1HG0079320,2,,crosshap,crosshap_failed,vcf_raw has 0 variants: /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/03_per_gene_vcfs/raw_1000bp/betaglucan/HORVU.MOREX.r3.1HG0079320.vcf.gz
betaglucan,HORVU.MOREX.r3.1HG0079320.vcf.gz,HORVU.MOREX.r3.1HG0079320,3,,crosshap,crosshap_failed,vcf_raw has 0 variants: /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/03_per_gene_vcfs/raw_1000bp/betaglucan/HORVU.MOREX.r3.1HG0079320.vcf.gz
betaglucan,HORVU.MOREX.r3.1HG0079340.vcf.gz,HORVU.MOREX.r3.1HG0079340,,,gene_stats,no_valid_tests_for_gene,Zero valid omnibus tests across MGmin/epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079340.vcf.gz,HORVU.MOREX.r3.1HG0079340,2,,crosshap,crosshap_failed,vcf_raw has 0 variants: /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/03_per_gene_vcfs/raw_1000bp/betaglucan/HORVU.MOREX.r3.1HG0079340.vcf.gz
betaglucan,HORVU.MOREX.r3.1HG0079340.vcf.gz,HORVU.MOREX.r3.1HG0079340,3,,crosshap,crosshap_failed,vcf_raw has 0 variants: /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/03_per_gene_vcfs/raw_1000bp/betaglucan/HORVU.MOREX.r3.1HG0079340.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0112830.vcf.gz,HORVU.MOREX.r3.2HG0112830,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112840.vcf.gz,HORVU.MOREX.r3.2HG0112840,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112870.vcf.gz,HORVU.MOREX.r3.2HG0112870,,,gene_stats,no_valid_tests_for_gene,Zero valid omnibus tests across MGmin/epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112870.vcf.gz,HORVU.MOREX.r3.2HG0112870,2,,crosshap,crosshap_failed,vcf_raw has 0 variants: /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/03_per_gene_vcfs/raw_1000bp/betaglucan/HORVU.MOREX.r3.2HG0112870.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0112870.vcf.gz,HORVU.MOREX.r3.2HG0112870,3,,crosshap,crosshap_failed,vcf_raw has 0 variants: /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/03_per_gene_vcfs/raw_1000bp/betaglucan/HORVU.MOREX.r3.2HG0112870.vcf.gz
