Bin	Sum_R2	SumSq_R2	N_Pairs
1944000	210181	99777.4	2176659
1945000	209718	99685.2	2185595
1946000	210895	100016	2203896
1947000	210573	99964.5	2191451
1949000	210871	99948.1	2185807
1950000	210572	100291	2177508
1951000	209976	99787.7	2169934
1952000	209567	99949	2170955
1953000	210366	100153	2179383
1954000	208737	99358.1	2163337
1955000	209061	99806.6	2168593
1956000	209652	99688.5	2187634
1957000	210453	99871.4	2198815
1958000	210993	100453	2197140
1960000	210588	99990.4	2190197
1961000	211795	100819	2196297
1962000	211905	100945	2204312
1963000	211074	100260	2200902
1964000	211808	100930	2199002
1965000	213073	101703	2202305
1966000	213502	102143	2204009
1967000	212685	101551	2207291
1968000	213427	101858	2203303
1970000	211911	101148	2188149
1971000	213279	101675	2195245
1972000	213010	101463	2192914
1974000	213233	101688	2203625
1975000	213201	102039	2181539
1976000	213380	101835	2192404
1977000	212159	101409	2180625
1978000	211800	100981	2180136
1979000	212212	101344	2175813
1980000	211591	100498	2182967
1982000	211483	100613	2185447
1983000	211265	100470	2183556
1984000	209879	99773.5	2185408
1985000	209028	99159.2	2181744
1986000	209652	99774.3	2178404
1987000	209214	99557.2	2164899
1988000	208365	98975.2	2169539
1990000	207738	98520	2160662
1991000	209799	99725.3	2174520
1992000	209169	99530.6	2157709
1993000	209365	99440.3	2159777
1994000	209360	99410.6	2159642
1995000	210349	99775.7	2169029
1996000	210740	100391	2160455
1998000	210882	100057	2181577
1999000	210354	99879.9	2180547
2000000	210153	99508.9	2187277
2001000	211391	100676	2179068
2002000	208755	99083.6	2164632
2003000	209177	99790.6	2155814
2005000	207319	98528.6	2146789
2006000	209257	99658.8	2156660
2007000	209931	100126	2158477
2008000	208225	98978.1	2148370
2009000	208744	98954.4	2157470
2010000	208324	98617.6	2164281
2011000	209215	99113.4	2169171
2012000	209511	99318.7	2173969
2013000	207813	98633.7	2148536
2014000	208507	99023.1	2146674
2015000	207305	98199.5	2142656
2016000	207022	97978.8	2142864
2017000	206675	97675.5	2143997
2018000	206491	97618.9	2137044
2019000	207033	97869.6	2145797
2020000	207671	98093.8	2170430
2021000	206854	97759	2159388
2022000	205895	97075.7	2149041
2023000	207887	98404.7	2161972
2024000	205707	97459.6	2138104
2025000	206322	97521.4	2147701
2026000	205849	97580.5	2146317
2027000	205845	96975.2	2162105
2028000	206283	97211.8	2165076
2029000	205937	96947.1	2159958
2030000	206151	97313.4	2158745
2031000	205448	97205.4	2143131
2033000	208675	98611.1	2178829
2034000	207799	98139	2179825
2035000	208023	98184.8	2174859
2036000	208605	98761.6	2171706
2037000	208420	98399.1	2173396
2038000	209017	99023	2174342
2039000	209488	98975.4	2188021
2040000	208671	98597.6	2178293
2041000	207921	98370.8	2161227
2042000	207925	98664.8	2153404
2043000	207752	98410.8	2153197
2044000	207757	98481.1	2152927
2045000	207759	98409.8	2150507
2046000	207821	98238	2157658
2047000	208267	98473.2	2171973
2048000	206958	97892.2	2165489
2049000	208250	98651.5	2174423
2050000	207909	98332.9	2171344
2051000	207335	98102.5	2176368
2052000	207978	98410.5	2169589
2053000	208551	98652	2172712
2054000	208284	98685	2168250
2055000	208972	99010.6	2177134
2056000	209559	99510.3	2175248
2057000	208841	98843.3	2167330
2058000	210073	99770.8	2172625
2059000	208568	98684.4	2171319
2060000	207857	98570.8	2163031
2061000	207461	98630.3	2158520
2062000	207202	98314.7	2157099
2063000	207632	98399.5	2161276
2064000	206102	97915.6	2150902
2065000	206415	98075	2142172
2066000	204787	97261.2	2124880
2067000	205586	97615.5	2147663
2068000	206143	97728.7	2157152
2069000	205985	97623.6	2152544
2070000	205982	97383.2	2145475
2072000	205179	97077.4	2141718
2073000	205159	96680	2152744
2074000	204843	96640.2	2147949
2075000	205819	97038.4	2153978
2076000	205395	96895.8	2156661
2077000	205085	96638	2156789
2078000	206461	97297.6	2164093
2079000	206005	97116.4	2166243
2080000	206335	97549.3	2157423
2081000	206038	97200.1	2156181
2082000	206234	97424.5	2154274
2083000	207322	97922	2166604
2084000	207139	97531.2	2181336
2085000	206463	97378.2	2176274
2086000	207109	97737.6	2185248
2087000	206839	97661.4	2167815
2088000	207362	97494.1	2189980
2089000	206015	96852.5	2177029
2090000	206106	97102.7	2170729
2091000	207143	97335.3	2178606
2092000	206194	97304.8	2162503
2093000	206787	97692.2	2159656
2094000	205128	96900.6	2143007
2095000	204847	96637.7	2137321
2096000	206783	97565.3	2156801
2097000	207203	97622.5	2162809
2098000	205719	96649.6	2166098
2099000	207067	97276.4	2178288
2100000	207168	97279.8	2190260
2101000	206377	96765.9	2185307
2102000	208367	98095.3	2186274
2103000	207858	97482.5	2187984
2104000	206416	96630.1	2172720
2105000	207093	97065.2	2177853
2106000	207687	97537.2	2179291
2107000	207480	97771.2	2172857
2108000	208080	97814.6	2182903
2109000	206937	97068	2173287
2110000	207225	97398.9	2167510
2111000	206673	96875.3	2168600
2112000	206773	96876.9	2180364
2113000	205820	96477.1	2173888
2114000	206046	96846.4	2167521
2115000	206025	96577	2179609
2116000	205754	96672.5	2165930
2117000	206442	96727.6	2172970
2118000	205563	96486	2169497
2119000	204926	96112.1	2163581
2120000	206484	96714.9	2194232
2121000	205426	96019.2	2199788
2122000	205200	96000	2189030
2123000	205576	96163.5	2191735
2124000	205217	96042.3	2195134
2125000	205625	96040.9	2207640
2126000	204042	95444.5	2182474
2127000	204941	95683.1	2191598
2128000	205929	96460.2	2191187
2129000	206553	96889.4	2189276
2130000	206301	96722.6	2194336
2132000	205772	96631.7	2181562
2133000	205908	96748.4	2187164
2134000	205590	96639	2187316
2135000	204569	96174.9	2173863
2136000	204899	96201.7	2175453
2137000	206052	96914.5	2179311
2138000	205426	96337.2	2193594
2140000	204635	96532.8	2157558
2141000	203175	95536.3	2154315
2142000	203955	95761	2152859
2143000	204676	96425.1	2166616
2145000	203625	95528.8	2162373
2146000	203876	95654	2163444
2147000	204774	96110.7	2172151
2148000	204225	95922.4	2165380
2149000	203865	95765.8	2154691
2151000	203283	95173.3	2159530
2152000	202912	94945.5	2151042
2153000	203294	95155.8	2158272
2154000	204171	95558.1	2173212
2155000	203205	95124.3	2165925
2156000	204745	96288.9	2166268
2157000	205175	96577.8	2169785
2159000	203824	95880	2167317
2160000	204975	96060.2	2176720
2161000	204718	96293.6	2171019
2162000	205299	96644.3	2174453
2163000	205841	96995.1	2181975
2164000	206178	96621.4	2193818
2165000	206452	96896.8	2204341
2166000	207095	97153.3	2209058
2167000	207450	97437.6	2193938
2168000	205382	96517.9	2181073
2169000	205250	96722.4	2183790
2170000	205438	96489	2185818
2171000	205431	96441.9	2185952
2172000	204807	96010.5	2187145
2173000	205058	96179.6	2173644
2174000	203640	95429.2	2165102
2175000	204994	96286.2	2174726
2176000	202411	95116.1	2147367
2177000	203836	95911.5	2158025
2178000	205676	96784.5	2172090
2179000	205279	96684.6	2167242
2180000	204824	96215.4	2164758
2181000	204465	96315.3	2157378
2182000	203787	95340.6	2168011
2183000	204314	95888.1	2166296
2184000	204316	95868.7	2156870
2185000	204831	96237.8	2154260
2186000	203843	95607	2157055
2187000	203228	95156.9	2151650
2188000	203019	95239.7	2146507
2189000	202139	94880.5	2131549
2190000	202599	95127.6	2134040
2191000	204227	96119.4	2144325
2192000	204502	96457.6	2137702
2193000	203282	95931.3	2118128
2194000	203009	95963.3	2114963
2195000	201572	95097.3	2103072
2196000	203346	96032.4	2116252
2197000	203423	96333.8	2112172
2198000	203072	96330.8	2111121
2199000	203024	96049.3	2116539
2200000	203348	96536.4	2119011
2201000	202799	96147.7	2104423
2202000	203217	96307.5	2112845
2203000	203539	96898.6	2108619
2204000	204067	96984.9	2107804
2205000	203524	96731.9	2108569
2206000	203060	96055.4	2114632
2208000	204431	97025.9	2122845
2209000	203940	96373.7	2131612
2210000	205129	97033.9	2147427
2212000	204868	97211.8	2135140
2213000	203856	96229.7	2135860
2214000	202605	95791.4	2112621
2215000	201107	95025.7	2099180
2216000	201939	95339.1	2111117
2217000	202562	95299.4	2139114
2218000	203137	95639.2	2146393
2219000	201736	94974.1	2131634
2220000	202482	95241.7	2141027
2221000	203316	95664.8	2142648
2223000	201169	94560.1	2118530
2224000	202038	95051.3	2125502
2225000	202165	95093.5	2134849
2226000	201535	94565.1	2131244
2227000	202757	95527.8	2134924
2228000	203030	95518.4	2146511
2229000	203009	95417.7	2151696
2231000	204550	96181.9	2160236
2232000	204515	96370.3	2164916
2233000	204178	96504.5	2151729
2234000	203319	95888.2	2140075
2235000	203410	95747.1	2149468
2236000	201895	94795.9	2137023
2237000	203172	95632.4	2153802
2238000	202757	94968.3	2159838
2239000	203348	95473.8	2168732
2240000	202947	95141.3	2164868
2241000	203958	95801.7	2166804
2242000	202736	95017.9	2156279
2244000	202994	95370.6	2162564
2245000	202532	95014.9	2158297
2246000	203145	95535.7	2151575
2247000	203513	95594.7	2156759
2248000	202359	95426.1	2134364
2249000	202352	95286.3	2140907
2250000	202176	95466.1	2139641
2251000	202557	95151.1	2158786
2252000	202084	94873.6	2147206
2253000	202449	94835.1	2150009
2254000	202386	94876.8	2154163
2255000	201742	94228	2153366
2256000	201590	94546.4	2144125
2258000	200182	93625.9	2132673
2259000	201605	94534.3	2137598
2260000	200717	94042.4	2127574
2261000	199959	93762.5	2116934
2262000	201356	94559.9	2131048
2264000	201316	94387.7	2128903
2265000	201773	94482.4	2130656
2266000	201374	94264.8	2128475
2268000	199799	93187.8	2133358
2269000	199138	93333.5	2113530
2270000	199701	93495.4	2120540
2271000	198425	92582	2127992
2272000	199226	93354.1	2124755
2273000	198796	92847.2	2124821
2274000	197367	92175.3	2104539
2275000	198864	93131	2115484
2276000	198676	93120	2108152
2278000	199216	93775.7	2098255
2279000	198198	93175	2098357
2280000	197336	92515.5	2098172
2281000	198242	93009.3	2101569
2282000	199403	93334.9	2112198
2283000	198568	93037.3	2101136
2284000	198703	93209.8	2110748
2286000	198498	93010	2104960
2287000	199704	93728	2125984
2288000	201566	94525.9	2136431
2289000	201908	94621.8	2130177
2290000	201191	93986.8	2135148
2291000	200983	93821.7	2133419
2292000	199604	93237.8	2119627
2293000	199549	93269.8	2117499
2294000	200506	93982.7	2117990
2295000	200849	94086.5	2131067
2296000	201681	94719	2136065
2298000	200201	94000	2126915
2299000	199473	93267.8	2128008
2300000	201197	94298.6	2141502
2301000	201784	94234.6	2145612
2302000	200876	94238.7	2120602
2303000	200237	93545.8	2121326
2304000	199826	93418.7	2128280
2305000	200144	93680.6	2133994
2306000	198611	92745.4	2126927
2307000	198919	92908.7	2127138
2308000	198337	92645.6	2124016
2309000	199104	93427.6	2124021
2310000	198208	92418.1	2128972
2311000	199533	92928.8	2155460
2312000	199758	93395.9	2145910
2313000	198330	92581	2130757
2314000	198893	92928.8	2134705
2315000	198075	92349.1	2127606
2316000	198712	92574.3	2140050
2317000	198276	92453.2	2139457
2318000	198003	92416	2137521
2319000	198347	92510.7	2134702
2320000	196834	91586.3	2120871
2321000	197153	91890.5	2127681
2322000	196483	91629.5	2117430
2323000	197115	91786.7	2123154
2324000	197640	92019.8	2130324
2325000	197976	92238.3	2133376
2326000	198322	92323.3	2132409
2327000	199846	93131.8	2142140
2328000	199017	92950.1	2135499
2329000	200547	93370.5	2157838
2330000	200256	93649.4	2150619
2331000	200324	93710.5	2152321
2332000	201610	94094.4	2160921
