Bin	Sum_R2	SumSq_R2	N_Pairs
626000	119174	54715.2	1375107
627000	118603	54591.5	1367969
628000	119093	54987.1	1372669
629000	117986	54623.5	1354177
630000	118646	54918.4	1368827
631000	117950	54379.2	1357358
632000	116774	53652.1	1352606
633000	117796	54281.4	1353428
634000	119361	55488.6	1362005
635000	119437	55454.1	1373906
636000	119063	54959.5	1382449
637000	118431	54548.2	1382526
638000	119580	54778	1401845
639000	118865	54443.7	1392474
640000	119365	54857.6	1394275
641000	119462	55059.1	1390921
642000	118063	54484.5	1375506
643000	117737	54076.7	1379220
644000	116815	53602.3	1364869
645000	117503	53833.8	1370887
646000	117845	54030.2	1384850
647000	118503	54294.5	1393100
648000	116724	53575.1	1366972
649000	115881	53206	1355411
650000	115506	53080.9	1351456
651000	115599	53175.3	1355216
652000	116078	53410.2	1358546
653000	115260	52729.9	1358423
654000	116186	53384.9	1362749
655000	116924	54006.9	1364479
656000	116336	53776	1356716
657000	116196	53449.3	1359501
658000	116217	53702.4	1359703
660000	117120	54096.6	1369974
661000	116406	53513.6	1373754
662000	116208	53572.4	1368850
663000	118115	54611.5	1387624
664000	116981	53917.1	1384345
665000	117883	54567.9	1387551
666000	117620	54108.3	1393159
667000	117859	53922.1	1398584
668000	118100	54514.4	1393586
669000	117741	54092.9	1390660
670000	117150	53853.4	1385550
671000	118473	54481.2	1397315
672000	116569	53723.6	1384755
673000	117950	54544.4	1388325
674000	116142	53780	1368742
675000	116561	54023.3	1368107
676000	116125	53580.8	1367025
677000	115825	53314.8	1366842
678000	115607	53238.6	1360294
679000	115990	53507.7	1360114
680000	116063	53521.9	1371188
681000	115323	53188.6	1360702
682000	115848	53407.6	1368353
683000	115697	53290.7	1366283
684000	115245	52961.9	1360234
686000	116096	52809.8	1386128
687000	115558	53000	1373899
688000	115899	53106.3	1376531
689000	114804	52163.5	1373624
690000	114661	52104.9	1381556
691000	113697	51676.6	1365168
692000	114735	52294.8	1372778
693000	115537	52708.6	1383879
694000	114483	52022.7	1378441
695000	115064	52460.8	1378782
696000	114909	52275.1	1376897
697000	113820	51591	1364601
698000	113818	51598.1	1369371
699000	113835	51770.7	1364898
700000	115274	52802.1	1370234
701000	114017	51828.7	1371069
702000	115248	52709.9	1381727
703000	115464	53027.4	1379268
704000	114783	52498.3	1380558
706000	114550	52103.2	1376719
707000	114885	52643.6	1370059
708000	113904	51727.2	1376799
709000	114875	52092.8	1394749
710000	114870	52326.5	1390653
711000	114999	52361.4	1396213
712000	114790	52219.9	1384471
713000	114460	52239	1377333
714000	114736	52332.9	1377173
716000	113886	52101.1	1378800
717000	112572	51302.3	1374608
718000	112821	51442.3	1373567
719000	113220	51758.4	1374432
720000	113805	51968.4	1387705
721000	113384	51671	1388138
722000	114537	52265.4	1396977
723000	113869	51998.8	1383414
725000	113372	51659.9	1377219
726000	113207	51942.9	1364172
727000	112275	51425.4	1350922
728000	112933	51807.4	1360719
729000	112623	51597.1	1356695
730000	112622	51458.6	1361709
731000	112931	51585	1366443
732000	112982	51491.4	1367587
733000	112890	51390.6	1374866
734000	111381	50657.1	1363532
735000	112214	51122.3	1373029
736000	111805	50794.3	1372161
737000	111464	50501.6	1372284
738000	112245	50890.6	1379846
739000	112841	51231.1	1383948
740000	111480	50540.8	1368644
741000	111931	50826.2	1374871
742000	112436	50803.7	1388378
743000	111883	50261	1381635
744000	110977	50151.1	1361293
745000	111313	50426.4	1357237
746000	110878	50253.2	1355092
747000	111304	50364	1358583
748000	110423	49970.4	1352981
